Alliance and Leicester PLC,725810,00000000
Barnsley Building Society,621719,00000000
Bath Building Society,400919,40133094
Beverley Building Society,622890,00000000
Birmingham Midshires Building Society,209778,00968773
(Bristol and West) ASSET only,622453,53731530
Bristol and West Building Society,571184,53731530
Britannia Building Society,571327,00000000
Buckinghamshire Building Society,200206,20224448
Cambridge Building Society,201722,40338346
Catholic Building Society,400713,80218316
Chelsea Building Society,086072,00000001
Cheltenham & Gloucester,300000,00353019
Chesham Building Society,401712,90232009
Cheshire Building Society,205377,50244961
Chorley and District Building Society,161622,11758805
Clay Cross Building Society,600110,04803183
Darlington Building Society,401903,40277061
Derbyshire Building Society,570055,00000000
Dudley Building Society,089048,70715024
Dunfermline Building Society,839207,00000000
East Dunbartonshire Municipal Bank,826913,70000652
Ecology Building Society,050388,40417716
First Active,301525,63227798
Furness Building Society,161227,10091267
Hanley Economic Building Society,300120,9995102
Harpenden Building Society,402311,1246356
Hinckley and Rugby Building Society,402419,81228218
Holmesdale Building Society,601727,27584798
Ipswich Building Society,234448,00004000
Irish Permanent,600001,97518662
Kent Reliance Building Society,622497,00000000
Lambeth Building Society,606004,34266844
Leeds Building Society,402715,12440040
Leeds and Holbeck Building Society,402715,12440040
Leek United Building Society,402801,11012258
Loughborough Building Society,300080,01781004
Manchester Building Society,089000,70127065
Mansfield Building Society,205562,10613185
Market Harborough Building Society,204908,70608386
Marsden Building Society,010593,01525182
Melton Mowbray Building Society,403214,10572780
Monmouthshire Building Society,403427,10600717
National Counties Building Society,402024,90614629
Nationwide Building Society,070093,33333334
Newbury Building Society,622874,00000000
Newcastle Building Society,235954,00000008
North Lanarkshire Municipal Bank,822000,90005528
Northern Rock,086115,00000515
Nottingham Building Society,608009,96875364
Penrith Building Society,601621,77173163
Principality Building Society,201815,90653535
Saffron Waldon Herts and Essex,207405,00775991
Santander,090000,00050005
Scarborough Building Society,404022,40724971
Scottish Building Society,830608,00255419
Shepshed Building Society,601410,89883209
Skipton Building Society,207842,70798924
Stafford Railway Building Society,404303,81645846
Staffordshire Building Society,209778,10789011
Stroud and Swindon Building Society,404321,91199501
Swansea Building Society,309546,01464485
Teachers Building Society,602443,60230282
Tipton and Coseley Building Society,202717,70885096
Universal Building Society,300047,00013906
Vernon Building Society,089024,70236215
West Bromwich Building Society,404613,91066277